축,코드,코드명,설명,사장님기존표기,비고
품목,C,의자,등받이·암체어·벤치 (바텐·스툴은 별도 장르),C / CH,대분류 1자 고정
품목,B,바텐,바텐의자 장르 (목재·철재·플라스틱·알루미늄 모두 이 아래),CB / BCs,장르 대분류
품목,L,보조스툴,등받이 없는 보조의자 장르 (목재·철재·플라스틱·알루미늄),보조스툴,장르 대분류. 사장님 확정 필요
품목,T,탁자,상판+다리 완제품,T,
품목,P,상판,상판 단품,$상판 / TB,
품목,G,탁자다리,다리 단품,#다리 / TG,
품목,S,소파,1인~3인·붙박이·오토만,SF,
품목,O,아웃도어,야외용 의자·탁자·파라솔,OD,
품목,F,집기·선반,선반·카운터·파티션,집기,
품목,A,부속,방석·캡·수저통,&수저통,
소재,WO,목재,원목·집성 프레임,Cwo / SF-WO,
소재,ST,철재,철 프레임·분체도장,Cst / 철제의자-st,
소재,PL,사출·플라스틱,PP·PC 사출,Cpl / 사출의자 pl,
소재,AL,알루미늄,알루미늄 프레임,Cal / Fal,
소재,RA,라탄,천연·인조 라탄,Clat / 라탄의자,라탄=lat 표기와 병행 가능
소재,SS,스텐,스테인리스,Tsus,
소재,LP,LPM,저압 멜라민 상판,TLP / LPMTB-lp,
소재,HP,HPL·HPM,고압 멜라민 상판,THP / HPM TB-hp,
소재,SW,집성목,집성목 상판,집성목TB-sw / TF,
소재,WS,우드슬랩,통원목 슬랩,Tws / 우드슬랩TB-,
소재,CM,세라믹,세라믹 상판,세라믹TB-cm,
소재,NB,내츄럴보드,내츄럴보드 상판,TB-nb / Tnb,
소재,VN,무늬목,인조·천연 무늬목,인조무늬목,
소재,AH,애쉬,애쉬 원목,TVash / 애쉬-ah,수종
소재,TK,티크,티크 원목,티크-K,수종
소재,AK,아카시아,아카시아 원목,아카시아,수종
소재,RW,고무나무,고무나무 원목,고무나무,수종
소재,MO,멀바우,몽구루(멀바우) 원목,몽구루-mo,수종(추론)
소재,MB,대리석,천연·인조 대리석,,
소재,WP,합성수지목,야외용 합성목재,합성수지목,
소재,FB,패브릭,패브릭 좌판·소파,,
소재,LE,가죽,천연·인조가죽,,
소재,GL,유리,강화유리 상판,,
소재,FX,포맥스,포맥스 상판,포맥스,
소재,DR,드럼통,드럼통(대포상),대포상 / Tdr,추론
기능,bc,등받이의자,기본 등받이형,,의자
기능,ar,암체어,팔걸이 있음,,의자
기능,bn,벤치,2인 이상 긴 의자,벤치의자,의자
기능,sl,스툴,등받이 없음,보조스툴,의자
기능,sn,수납의자,좌판 아래 수납,Csst / 수납의자,의자
기능,fd,접이식,접이 의자·탁자,,의자·탁자
기능,sw,회전,회전 의자,,의자
기능,hi,하이,바텐·바테이블 높이,,의자·탁자
기능,rd,원형,원형 상판,원반,탁자
기능,sq,사각,사각 상판,,탁자
기능,ov,타원,타원 상판,,탁자
기능,aj,높이조절,높이조절 기능,조절반다리,탁자·다리·바텐
기능,s1,1인,1인 소파,,소파
기능,s2,2인,2인 소파,모던소파2인,소파
기능,s3,3인,3인 소파,,소파
기능,bi,붙박이,붙박이 주문제작 소파,붙박이소파,소파
기능,ot,오토만,오토만·보조소파,,소파
기능,cn,코너,코너형 소파,,소파
기능,dk,원반다리,원반 받침 다리,원반다리,다리
기능,p2,2인치다리,2인치 기둥,2인치다리,다리
기능,p3,3인치다리,3인치 기둥,3인치다리,다리
기능,p4,4인치다리,4인치 기둥,4인치다리,다리
